word1,color1,word2,color2,corr_resp,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_2.started,text_2.stopped,ins_.started,text_4.started,ins_.stopped,text_4.stopped,fixation.started,sti.started,fixation.stopped,sti.stopped,dist.started,dist.stopped,key_resp.started,key_resp.stopped,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
Orange,red,kesari,red,r,0,0,0,8,,,,,,,,,15.533880099999806,16.535273600000437,16.535273600000437,21.53416929999912,21.53416929999912,25.5429409999997,25.5429409999997,26.034063099999912,26.05078279999907,27.034239500000695,27.034239500000695,28.53429750000032,28.53429750000032,31.54341939999904,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,blue,Laal,yellow,b,0,1,1,3,,,,,,,,,,,,,,,31.54341939999904,32.03436669999974,32.05092069999955,33.034341000000495,33.034341000000495,34.53417249999984,34.53417249999984,,b,1,1.6515106000006199,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,orange,Laal,red,o,0,2,2,2,,,,,,,,,,,,,,,36.21775510000043,36.717732799999794,36.717732799999794,37.71783870000036,37.71783870000036,39.21783709999909,39.21783709999909,,o,1,1.7810582999991311,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,blue,Laal,yellow,b,0,3,3,3,,,,,,,,,,,,,,,41.017002200000206,41.51702909999949,41.51702909999949,42.51738710000063,42.51738710000063,44.017260099999476,44.017260099999476,,b,1,0.8330091999996512,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Pila,blue,Yellow,orange,o,0,4,4,13,,,,,,,,,,,,,,,44.86757410000064,45.36731660000078,45.36731660000078,46.36754420000034,46.36754420000034,47.86740439999994,47.86740439999994,,o,1,2.1388495999999577,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Blue,blue,Nila,red,b,0,5,5,4,,,,,,,,,,,,,,,50.034158299999035,50.533984199999395,50.533984199999395,51.5341296000006,51.5341296000006,53.03433179999956,53.03433179999956,,b,1,1.6627307999988261,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,blue,Laal,yellow,b,0,6,6,3,,,,,,,,,,,,,,,54.71720819999973,55.2176273999994,55.2176273999994,56.217857300000105,56.217857300000105,57.717489299999215,57.717489299999215,60.71770379999907,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Laal,blue,Red,yellow,y,0,7,7,1,,,,,,,,,,,,,,,60.71770379999907,61.217656499999066,61.217656499999066,62.217865299999175,62.217865299999175,63.71795779999957,63.71795779999957,,y,1,0.563498299998173,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Yellow,yellow,Pila,blue,y,0,8,8,14,,,,,,,,,,,,,,,64.30820750000021,64.8011516000006,64.81810740000037,65.8011349999997,65.8011349999997,67.3014005999994,67.3014005999994,,y,1,0.4637027999997372,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,orange,Laal,red,o,0,9,9,2,,,,,,,,,,,,,,,67.78414530000009,68.28445490000013,68.28445490000013,69.2845056999995,69.2845056999995,70.78470290000041,70.78470290000041,,o,1,0.48415679999925487,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
