word1,color1,word2,color2,corr_resp,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_2.started,text_2.stopped,text_4.started,text_4.stopped,fixation.started,sti.started,fixation.stopped,sti.stopped,dist.started,key_resp.started,dist.stopped,key_resp.stopped,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
Pila,blue,Yellow,orange,o,0,0,0,13,,,,,,,,,16.2078429999965,17.208872399991378,17.208872399991378,22.234945399992284,22.234945399992284,22.710691000000224,22.743727299995953,23.70778739999514,23.70778739999514,25.203786300000502,25.220410499998252,28.217344399992726,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Nila,red,Blue,orange,o,0,1,1,5,,,,,,,,,,,,,28.217344399992726,28.710356199997477,28.727063099999214,29.708339899996645,29.708339899996645,31.20368839999719,31.220485799989547,34.21266779999132,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,red,Laal,orange,r,0,2,2,0,,,,,,,,,,,,,34.21266779999132,34.71121699998912,34.72774709999794,35.70837059999758,35.70837059999758,37.204232199990656,37.22075889998814,40.21275729998888,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Pila,orange,Yellow,blue,b,0,3,3,15,,,,,,,,,,,,,40.21275729998888,40.71145989999059,40.727966799997375,41.708475499995984,41.708475499995984,43.20458769999095,43.22132269998838,46.21326799999224,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Nila,orange,Blue,yellow,y,0,4,4,7,,,,,,,,,,,,,46.21326799999224,46.71163969999179,46.72818359998928,47.708978199996636,47.708978199996636,49.20518469999661,49.2215431999939,52.213489199988544,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Yellow,red,Pila,yellow,r,0,5,5,12,,,,,,,,,,,,,52.213489199988544,52.712710199994035,52.729062399987015,53.709339699998964,53.709339699998964,55.20541769999545,55.22201299999142,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Orange,red,kesari,red,r,0,6,6,8,,,,,,,,,,,,,58.2154814999958,58.71222269999271,58.72927820000041,59.709593299994594,59.709593299994594,61.20568829998956,61.22207209999033,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Orange,yellow,Kesari,blue,y,0,7,7,10,,,,,,,,,,,,,64.21475749999809,64.69616359999054,64.7295054999995,65.70997579999676,65.70997579999676,67.20627349999268,67.2225405999925,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,blue,Laal,yellow,b,0,8,8,3,,,,,,,,,,,,,70.21442119999847,70.69671049999306,70.72972319999826,71.7104008999886,71.7104008999886,73.20652319998771,73.22299229999771,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Nila,orange,Blue,yellow,y,0,9,9,7,,,,,,,,,,,,,76.2150915999955,76.69693320000079,76.7300547999912,77.71113909999258,77.71113909999258,79.20669979999366,79.2232401999936,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,orange,Laal,red,o,0,10,10,2,,,,,,,,,,,,,82.21526689999155,82.69735919999948,82.73041859999648,83.71118009999918,83.71118009999918,85.20753359999799,85.22381399999722,,o,1,0.07661630000802688,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Kesari,orange,Orange,blue,b,0,11,11,11,,,,,,,,,,,,,85.30883919999178,85.80537469999399,85.82204819998879,86.80267459999595,86.80267459999595,88.29886070000066,88.3152160999889,91.30690959999629,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Blue,blue,Nila,red,b,0,12,12,4,,,,,,,,,,,,,91.30690959999629,91.80620719998842,91.80620719998842,92.80352279999352,92.80352279999352,94.29894769999373,94.31602129999374,97.30749669999932,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Orange,yellow,Kesari,blue,y,0,13,13,10,,,,,,,,,,,,,97.30749669999932,97.80600539999432,97.82305729998916,98.80384339999,98.80384339999,100.29951029999938,100.31598579999991,103.30772969999816,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Nila,red,Blue,orange,o,0,14,14,5,,,,,,,,,,,,,103.30772969999816,103.80680789999315,103.82277269999031,104.8041874999908,104.8041874999908,106.29983879999781,106.31655319999845,109.30813849999686,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Yellow,yellow,Pila,blue,y,0,15,15,14,,,,,,,,,,,,,109.30813849999686,109.80704519999563,109.82351379998727,110.80425589998777,110.80425589998777,112.30012699999497,112.31713859998854,115.30858749999607,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Pila,orange,Yellow,blue,b,1,0,16,15,,,,,,,,,,,,,115.30858749999607,115.80723659999785,115.82368469999346,116.80481159999908,116.80481159999908,118.300685899987,118.3173761999933,121.30885950000084,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,orange,Laal,red,o,1,1,17,2,,,,,,,,,,,,,121.30885950000084,121.80764339999587,121.82460549999087,122.80492389999563,122.80492389999563,124.30091469999752,124.31769879999047,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Blue,red,Nila,yellow,r,1,2,18,6,,,,,,,,,,,,,127.3092561999947,127.79152819998853,127.82432799998787,128.80516669999633,128.80516669999633,130.3013815999875,130.31783819998964,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Pila,orange,Yellow,blue,b,1,3,19,15,,,,,,,,,,,,,133.30920399999013,133.80849339999259,133.80849339999259,134.80566479999106,134.80566479999106,136.3016607999889,136.31821969999874,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Yellow,red,Pila,yellow,r,1,4,20,12,,,,,,,,,,,,,139.30957449998823,139.79223129998718,139.80860779999057,140.80560479999986,140.80560479999986,142.3018832999951,142.3187171999889,,r,1,0.9096513999975286,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Pila,blue,Yellow,orange,o,1,5,21,13,,,,,,,,,,,,,143.23234409998986,143.73120439999911,143.73120439999911,144.72849499998847,144.72849499998847,146.22426779998932,146.2411437999981,149.23268259999168,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Kesari,blue,Orange,orange,o,1,6,22,9,,,,,,,,,,,,,149.23268259999168,149.73124739999184,149.7482994999882,150.72913439999684,150.72913439999684,152.22497099998873,152.2412295999966,155.233086799999,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Yellow,yellow,Pila,blue,y,1,7,23,14,,,,,,,,,,,,,155.233086799999,155.73209649999626,155.7485585999966,156.72903979998955,156.72903979998955,158.22525599999062,158.24173589999555,161.2334611999977,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Yellow,red,Pila,yellow,r,1,8,24,12,,,,,,,,,,,,,161.2334611999977,161.73234119999688,161.74919799999043,162.72988499999337,162.72988499999337,164.22549879999133,164.24197579998872,167.23372859999654,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
