word1,color1,word2,color2,corr_resp,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,text_2.started,text_2.stopped,text_4.started,fixation.started,sti.started,fixation.stopped,sti.stopped,dist.started,dist.stopped,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Orange,red,kesari,red,r,0,0,0,8,,,,,,,,,,,,,10.072287200018764,11.072332600015216,11.072332600015216,16.119486499985214,16.570416999980807,16.62060929997824,17.570419800002128,17.570419800002128,19.069920399982948,19.569877600006294,r,1,0.6720192999928258,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Pila,orange,Yellow,blue,b,0,1,1,15,,,,,,,,,,,,,,,,20.289405199990142,20.769108499982394,20.80270499998005,21.76937190000899,21.76937190000899,23.268978299980517,23.76886359998025,b,1,0.22745850001228973,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Pila,orange,Yellow,blue,b,0,2,2,15,,,,,,,,,,,,,,,,24.01843589998316,24.51867369998945,24.51867369998945,25.518632900028024,25.518632900028024,27.017920600017533,27.51809409999987,b,1,0.036954800016246736,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Pila,blue,Yellow,orange,o,0,3,3,13,,,,,,,,,,,,,,,,27.584695799974725,28.083995900000446,28.083995900000446,29.084279100003187,29.084279100003187,30.583872299990617,31.083777900028508,o,1,0.5984404999762774,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Yellow,yellow,Pila,blue,y,0,4,4,14,,,,,,,,,,,,,,,,31.701536900014617,32.19989320001332,32.216373200004455,33.19961319997674,33.19961319997674,34.69955189997563,35.19938700000057,y,1,0.13497120002284646,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Orange,red,kesari,red,r,0,5,5,8,,,,,,,,,,,,,,,,35.365626299986616,35.865952800028026,35.865952800028026,36.8656648999895,36.8656648999895,38.365161399997305,38.865196499973536,r,1,0.15963980002561584,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Kesari,blue,Orange,orange,o,0,6,6,9,,,,,,,,,,,,,,,,39.0521362000145,39.54804279998643,39.56471399997827,40.54775760002667,40.54775760002667,42.047982799995225,42.547723399999086,o,1,2.2951190000167117,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Red,red,Laal,orange,r,0,7,7,0,,,,,,,,,,,,,,,,44.866304700030014,45.36356730002444,45.380409999983385,46.36331909999717,46.36331909999717,47.8625844999915,48.363023500016425,r,1,0.023220600036438555,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Blue,blue,Nila,red,b,0,8,8,4,,,,,,,,,,,,,,,,48.43043000000762,48.91239210002823,48.945771600003354,49.91256249998696,49.91256249998696,51.41208869998809,51.91207850002684,b,1,0.7282356999930926,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Red,blue,Laal,yellow,b,0,9,9,3,,,,,,,,,,,,,,,,52.672626000014134,53.16176530002849,53.17826329998206,54.16124560002936,54.16124560002936,55.66134300001431,56.160969600023236,b,1,0.23904890002449974,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Nila,orange,Blue,yellow,y,0,10,10,7,,,,,,,,,,,,,,,,56.440055300015956,56.92713790002745,56.943822200002614,57.92743340000743,57.92743340000743,59.42661030002637,59.92669819999719,y,1,0.04820800002198666,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Kesari,orange,Orange,blue,b,0,11,11,11,,,,,,,,,,,,,,,,60.00481920002494,60.49298879998969,60.50952469999902,61.492612799978815,61.492612799978815,62.99228760000551,63.49201059999177,b,1,0.09951319999527186,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Kesari,blue,Orange,orange,o,0,12,12,9,,,,,,,,,,,,,,,,63.608889600029215,64.10865489998832,64.10865489998832,65.10852539999178,65.10852539999178,66.60807160002878,67.1081978000002,o,1,0.059814900043420494,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Blue,blue,Nila,red,b,0,13,13,4,,,,,,,,,,,,,,,,67.19678870000644,67.69114900002023,67.7079315999872,68.6909183000098,68.6909183000098,70.19076999998651,70.69066209997982,b,1,0.6289906000019982,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Yellow,red,Pila,yellow,r,0,14,14,12,,,,,,,,,,,,,,,,71.35208179999609,71.84027290000813,71.85675259999698,72.83983920002356,72.83983920002356,74.33986900001764,74.84008140000515,r,1,0.06268889998318627,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
Red,red,Laal,orange,r,0,15,15,0,,,,,,,,,,,,,,,,74.92367320001358,75.42289689998142,75.42289689998142,76.42297940002754,76.42297940002754,77.92230680002831,78.42219249997288,r,1,0.037629100028425455,,,783964,001,2022-10-09_13h21.29.713,Stroop Task-Lab in Psychology (Group Project),2022.2.4,59.842506490437756,
